keyword,theme,theme-Chinese
性别歧视,gender,性别
重男轻女,gender,性别
女拳,gender,性别
男权,gender,性别
男拳,gender,性别
女司机,gender,性别
小三,gender,性别
妇女,gender,性别
主妇,gender,性别
女人,gender,性别
女性,gender,性别
女生,gender,性别
女方,gender,性别
女友,gender,性别
男友,gender,性别
女朋友,gender,性别
老婆,gender,性别
女孩,gender,性别
少女,gender,性别
女神,gender,性别
男人,gender,性别
男性,gender,性别
男生,gender,性别
男方,gender,性别
男朋友,gender,性别
老公,gender,性别
丈夫,gender,性别
男孩,gender,性别
肌肉男,gender,性别
爸爸,gender,性别
妈妈,gender,性别
父权,gender,性别
家庭暴力,gender,性别
性别暴力,gender,性别
性别压迫,gender,性别
性别霸凌,gender,性别
男尊女卑,gender,性别
男女职业歧视,gender,性别
小仙女,gender,性别
娘炮,gender,性别
软饭男,gender,性别
宅男,gender,性别
屌丝,gender,性别
家务,gender,性别
地域黑,geography,地域
地域偏见,geography,地域
地域歧视,geography,地域
河南人,geography,地域
东北人素质低,geography,地域
外省,geography,地域
内地人,geography,地域
大陆人,geography,地域
乡下人,geography,地域
外地人,geography,地域
农村人,geography,地域
城里人,geography,地域
河北人,geography,地域
山西人,geography,地域
辽宁人,geography,地域
吉林人,geography,地域
黑龙江人,geography,地域
江苏人,geography,地域
浙江人,geography,地域
安徽人,geography,地域
福建人,geography,地域
江西人,geography,地域
山东人,geography,地域
河南人,geography,地域
湖北人,geography,地域
湖南人,geography,地域
广东人,geography,地域
海南人,geography,地域
四川人,geography,地域
贵州人,geography,地域
云南人,geography,地域
陕西人,geography,地域
甘肃人,geography,地域
青海人,geography,地域
台湾人,geography,地域
内蒙古人,geography,地域
广西人,geography,地域
西藏人,geography,地域
宁夏人,geography,地域
新疆人,geography,地域
香港人,geography,地域
澳门人,geography,地域
北京人,geography,地域
天津人,geography,地域
上海人,geography,地域
重庆人,geography,地域
苏北,geography,地域
苏南,geography,地域
东北人,geography,地域
江浙沪,geography,地域
长春人,geography,地域
赤峰人,geography,地域
潮汕人,geography,地域
西北人,geography,地域
北方人,geography,地域
南方人,geography,地域
港澳台,geography,地域
内陆,geography,地域
沿海,geography,地域
方言,geography,地域
黑鬼,race,种族
黑人,race,种族
非裔,race,种族
黑奴,race,种族
媚黑,race,种族
非洲裔,race,种族
黑命,race,种族
非洲裔,race,种族
白佬,race,种族
白人,race,种族
白人女性,race,种族
白人老爷,race,种族
阿三,race,种族
黄种人,race,种族
黄皮子,race,种族
亚裔,race,种族
移民,race,种族
拉丁裔,race,种族
东南亚,race,种族
南亚裔,race,种族
亚洲人,race,种族
种族偏见,race,种族
种族歧视,race,种族
汉族,ethnicity,民族
少数民族,ethnicity,民族
藏族,ethnicity,民族
维吾尔族,ethnicity,民族
满族,ethnicity,民族
壮族,ethnicity,民族
彝族,ethnicity,民族
苗族,ethnicity,民族
傣族,ethnicity,民族
朝鲜族,ethnicity,民族
土家族,ethnicity,民族
哈萨克族,ethnicity,民族
民族分裂,ethnicity,民族
民族屠杀,ethnicity,民族
民族认同,ethnicity,民族
民族自治,ethnicity,民族
民族优越,ethnicity,民族
民族劣根性,ethnicity,民族
民族狭隘性,ethnicity,民族
民族危机,ethnicity,民族
民族分化,ethnicity,民族
民族对立,ethnicity,民族
民族矛盾,ethnicity,民族
民族冲突,ethnicity,民族
民族奴役,ethnicity,民族
番邦蛮夷,ethnicity,民族
西北二虏,ethnicity,民族
五胡乱华,ethnicity,民族
蒙古大屠杀,ethnicity,民族
满族入关,ethnicity,民族
满汉不通婚,ethnicity,民族
劣等民族,ethnicity,民族
外国佬,nationality,国籍
外国人差别待遇,nationality,国籍
阿三,nationality,国籍
印度人,nationality,国籍
中国人,nationality,国籍
华人,nationality,国籍
日本,nationality,国籍
东南亚,nationality,国籍
韩国,nationality,国籍
日韩,nationality,国籍
日本鬼子,nationality,国籍
高丽棒子,nationality,国籍
美国佬,nationality,国籍
香蕉人,nationality,国籍
越南猴子,nationality,国籍
缅甸骗子,nationality,国籍
毛子,nationality,国籍
宗教仇恨,religion,宗教
大佬教,religion,宗教
伊斯兰教,religion,宗教
基督教,religion,宗教
天主教,religion,宗教
佛教,religion,宗教
道教,religion,宗教
儒家,religion,宗教
回教,religion,宗教
犹太教,religion,宗教
东正教,religion,宗教
犹太人,religion,宗教
同性恋,sexual orientation,性取向
性取向,sexual orientation,性取向
基佬,sexual orientation,性取向
